時,分,秒,經度,緯度
04,43,50.80,177698.263,2500798.204
04,43,51.00,177698.263,2500798.204
04,43,51.20,177698.263,2500798.204
04,43,51.40,177698.263,2500798.204
04,43,51.60,177698.263,2500798.204
04,43,51.80,177698.263,2500798.204
04,43,52.00,177698.263,2500798.204
04,43,52.20,177698.263,2500798.204
04,43,52.40,177698.263,2500798.204
04,43,52.60,177698.263,2500798.204
04,43,52.80,177698.263,2500798.204
04,43,53.00,177698.263,2500798.204
04,43,53.20,177698.263,2500798.204
04,43,53.40,177698.263,2500798.204
04,43,53.60,177698.263,2500798.204
04,43,53.80,177698.263,2500798.204
04,43,54.00,177698.263,2500798.204
04,43,54.20,177698.263,2500798.204
04,43,54.40,177698.263,2500798.204
04,43,54.60,177698.263,2500798.204
04,43,54.80,177698.263,2500798.204
04,43,55.00,177698.263,2500798.204
04,43,55.20,177698.263,2500798.204
04,43,55.40,177698.263,2500798.204
04,43,55.60,177698.263,2500798.204
04,43,55.80,177698.263,2500798.204
04,43,56.00,177698.263,2500798.204
04,43,56.20,177698.263,2500798.204
04,43,56.40,177698.263,2500798.204
04,43,56.60,177698.263,2500798.204
04,43,56.80,177698.263,2500798.204
04,43,57.00,177698.263,2500798.204
04,43,57.20,177698.263,2500798.204
04,43,57.40,177698.263,2500798.204
04,43,57.60,177698.263,2500798.204
04,43,57.80,177698.263,2500798.204
04,43,58.00,177698.263,2500798.204
04,43,58.20,177698.263,2500798.204
04,43,58.40,177698.263,2500798.204
04,43,58.60,177698.263,2500798.204
04,43,58.80,177698.263,2500798.204
04,43,59.00,177698.263,2500798.204
04,43,59.20,177698.263,2500798.204
04,43,59.40,177698.263,2500798.204
04,43,59.60,177698.263,2500798.204
04,43,59.80,177698.263,2500798.204
04,44,00.00,177698.263,2500798.204
04,44,00.20,177698.263,2500798.204
04,44,00.40,177698.263,2500798.204
04,44,00.60,177698.263,2500798.204
04,44,00.80,177698.263,2500798.204
04,44,01.00,177698.263,2500798.204
04,44,01.20,177698.263,2500798.204
04,44,01.40,177698.263,2500798.204
04,44,01.60,177698.263,2500798.204
04,44,01.80,177698.263,2500798.204
04,44,02.00,177698.263,2500798.204
04,44,02.20,177698.263,2500798.204
04,44,02.40,177698.263,2500798.204
04,44,02.60,177698.263,2500798.204
04,44,02.80,177698.263,2500798.204
04,44,03.00,177698.263,2500798.204
04,44,03.20,177698.263,2500798.204
04,44,03.40,177698.263,2500798.204
04,44,03.60,177698.263,2500798.204
04,44,03.80,177698.263,2500798.204
04,44,04.00,177698.263,2500798.204
04,44,04.20,177698.263,2500798.204
04,44,04.40,177698.263,2500798.204
04,44,04.60,177698.263,2500798.204
04,44,04.80,177698.263,2500798.204
04,44,05.00,177698.263,2500798.204
04,44,05.20,177698.263,2500798.204
04,44,05.40,177698.263,2500798.204
04,44,05.60,177698.263,2500798.204
04,44,05.80,177698.263,2500798.204
04,44,06.00,177698.263,2500798.204
04,44,06.20,177698.263,2500798.204
04,44,06.40,177698.263,2500798.204
04,44,06.60,177698.263,2500798.204
04,44,06.80,177698.263,2500798.204
04,44,07.00,177698.263,2500798.204
04,44,07.20,177698.263,2500798.204
04,44,07.40,177698.263,2500798.204
04,44,07.60,177698.263,2500798.204
04,44,07.80,177698.263,2500798.204
04,44,08.00,177698.263,2500798.204
04,44,08.20,177698.263,2500798.204
04,44,08.40,177698.263,2500798.204
04,44,08.60,177698.263,2500798.204
04,44,08.80,177698.263,2500798.204
04,44,09.00,177698.263,2500798.204
04,44,09.20,177698.263,2500798.204
04,44,09.40,177698.263,2500798.204
04,44,09.60,177698.263,2500798.204
04,44,09.80,177698.263,2500798.204
04,44,10.00,177698.263,2500798.204
04,44,10.20,177698.263,2500798.204
04,44,10.40,177698.263,2500798.204
04,44,10.60,177698.263,2500798.204
04,44,10.80,177698.263,2500798.204
04,44,11.00,177698.263,2500798.204
04,44,11.20,177698.263,2500798.204
04,44,11.40,177698.263,2500798.204
04,44,11.60,177698.263,2500798.204
04,44,11.80,177698.263,2500798.204
04,44,12.00,177698.263,2500798.204
04,44,12.20,177698.263,2500798.204
04,44,12.40,177698.263,2500798.204
04,44,12.60,177698.263,2500798.204
04,44,12.80,177698.263,2500798.204
04,44,13.00,177698.263,2500798.204
04,44,13.20,177698.263,2500798.204
04,44,13.40,177698.263,2500798.204
04,44,13.60,177698.263,2500798.204
04,44,13.80,177698.263,2500798.204
04,44,14.00,177698.263,2500798.204
04,44,14.20,177698.263,2500798.204
04,44,14.40,177698.263,2500798.204
04,44,14.60,177698.263,2500798.204
04,44,14.80,177698.263,2500798.204
04,44,15.00,177698.263,2500798.204
04,44,15.20,177698.263,2500798.204
04,44,15.40,177698.263,2500798.204
04,44,15.60,177698.263,2500798.204
04,44,15.80,177698.263,2500798.204
04,44,16.00,177698.263,2500798.204
04,44,16.20,177698.263,2500798.204
04,44,16.40,177698.263,2500798.204
04,44,16.60,177698.263,2500798.204
04,44,16.80,177698.263,2500798.204
04,44,17.00,177698.263,2500798.204
04,44,17.20,177698.263,2500798.204
04,44,17.40,177698.263,2500798.204
04,44,17.60,177698.263,2500798.204
04,44,17.80,177698.263,2500798.204
04,44,18.00,177698.263,2500798.204
04,44,18.20,177698.263,2500798.204
04,44,18.40,177698.263,2500798.204
04,44,18.60,177698.263,2500798.204
04,44,18.80,177698.263,2500798.204
04,44,19.00,177698.263,2500798.204
04,44,19.20,177698.263,2500798.204
04,44,19.40,177698.263,2500798.204
04,44,19.60,177698.263,2500798.204
04,44,19.80,177698.263,2500798.204
04,44,20.00,177698.263,2500798.204
04,44,20.20,177698.263,2500798.204
04,44,20.40,177698.263,2500798.204
04,44,20.60,177698.263,2500798.204
04,44,20.80,177698.263,2500798.204
04,44,21.00,177698.263,2500798.204
04,44,21.20,177698.263,2500798.204
04,44,21.40,177698.263,2500798.204
04,44,21.60,177698.263,2500798.204
04,44,21.80,177698.263,2500798.204
04,44,22.00,177698.263,2500798.204
04,44,22.20,177698.263,2500798.204
04,44,22.40,177698.263,2500798.204
04,44,22.60,177698.263,2500798.204
04,44,22.80,177698.263,2500798.204
04,44,23.00,177698.263,2500798.204
04,44,23.20,177698.263,2500798.204
04,44,23.40,177698.263,2500798.204
04,44,23.60,177698.263,2500798.204
04,44,23.80,177698.263,2500798.204
04,44,24.00,177698.263,2500798.204
04,44,24.20,177698.263,2500798.204
04,44,24.40,177698.263,2500798.204
04,44,24.60,177698.263,2500798.204
04,44,24.80,177698.263,2500798.204
04,44,25.00,177698.263,2500798.204
04,44,25.20,177698.263,2500798.204
04,44,25.40,177698.263,2500798.204
04,44,25.60,177698.263,2500798.204
04,44,25.80,177698.263,2500798.204
04,44,26.00,177698.263,2500798.204
04,44,26.20,177698.263,2500798.204
04,44,26.40,177698.263,2500798.204
04,44,26.60,177698.263,2500798.204
04,44,26.80,177698.263,2500798.204
04,44,27.00,177698.263,2500798.204
04,44,27.20,177698.263,2500798.204
04,44,27.40,177698.263,2500798.204
04,44,27.60,177698.263,2500798.204
04,44,27.80,177698.263,2500798.204
04,44,28.00,177698.263,2500798.204
04,44,28.20,177698.263,2500798.204
04,44,28.40,177698.263,2500798.204
04,44,28.60,177698.263,2500798.204
04,44,28.80,177698.263,2500798.204
04,44,29.00,177698.263,2500798.204
04,44,29.20,177698.263,2500798.204
04,44,29.40,177698.263,2500798.204
04,44,29.60,177698.263,2500798.204
04,44,29.80,177698.263,2500798.204
04,44,30.00,177698.263,2500798.204
04,44,30.20,177698.263,2500798.204
04,44,30.40,177698.263,2500798.204
04,44,30.60,177698.263,2500798.204
04,44,30.80,177698.263,2500798.204
04,44,31.00,177698.263,2500798.204
04,44,31.20,177698.263,2500798.204
04,44,31.40,177698.263,2500798.204
04,44,31.60,177698.263,2500798.204
04,44,31.80,177698.263,2500798.204
04,44,32.00,177698.263,2500798.204
04,44,32.20,177698.263,2500798.204
04,44,32.40,177698.263,2500798.204
04,44,32.60,177698.263,2500798.204
04,44,32.80,177698.263,2500798.204
04,44,33.00,177698.263,2500798.204
04,44,33.20,177698.263,2500798.204
04,44,33.40,177698.263,2500798.204
04,44,33.60,177698.263,2500798.204
04,44,33.80,177698.263,2500798.204
04,44,34.00,177698.263,2500798.204
04,44,34.20,177698.263,2500798.204
04,44,34.40,177698.263,2500798.204
04,44,34.60,177698.263,2500798.204
04,44,34.80,177698.263,2500798.204
04,44,35.00,177698.263,2500798.204
04,44,35.20,177698.263,2500798.204
04,44,35.40,177698.263,2500798.204
04,44,35.60,177698.263,2500798.204
04,44,35.80,177698.263,2500798.204
04,44,36.00,177698.263,2500798.204
04,44,36.20,177698.263,2500798.204
04,44,36.40,177698.263,2500798.204
04,44,36.60,177698.263,2500798.204
04,44,36.80,177698.263,2500798.204
04,44,37.00,177698.263,2500798.204
04,44,37.20,177698.263,2500798.204
04,44,37.40,177698.263,2500798.204
04,44,37.60,177698.263,2500798.204
04,44,37.80,177698.263,2500798.204
04,44,38.00,177698.263,2500798.204
04,44,38.20,177698.263,2500798.204
04,44,38.40,177698.263,2500798.204
04,44,38.60,177698.263,2500798.204
04,44,38.80,177698.263,2500798.204
04,44,39.00,177698.263,2500798.204
04,44,39.20,177698.263,2500798.204
04,44,39.40,177698.263,2500798.204
04,44,39.60,177698.263,2500798.204
04,44,39.80,177698.263,2500798.204
04,44,40.00,177698.263,2500798.204
04,44,40.20,177698.263,2500798.204
04,44,40.40,177698.263,2500798.204
04,44,40.60,177698.263,2500798.204
04,44,40.80,177698.263,2500798.204
04,44,41.00,177698.263,2500798.204
04,44,41.20,177698.263,2500798.204
04,44,41.40,177698.263,2500798.204
04,44,41.60,177698.263,2500798.204
04,44,41.80,177698.263,2500798.204
04,44,42.00,177698.263,2500798.204
04,44,42.20,177698.263,2500798.204
04,44,42.40,177698.263,2500798.204
04,44,42.60,177698.263,2500798.204
04,44,42.80,177698.263,2500798.204
04,44,43.00,177698.263,2500798.204
04,44,43.20,177698.263,2500798.204
04,44,43.40,177698.263,2500798.204
04,44,43.60,177698.263,2500798.204
04,44,43.80,177698.263,2500798.204
04,44,44.00,177698.263,2500798.204
04,44,44.20,177698.263,2500798.204
04,44,44.40,177698.263,2500798.204
04,44,44.60,177698.263,2500798.204
04,44,44.80,177698.263,2500798.204
04,44,45.00,177698.263,2500798.204
04,44,45.20,177698.263,2500798.204
04,44,45.40,177698.263,2500798.204
04,44,45.60,177698.263,2500798.204
04,44,45.80,177698.263,2500798.204
04,44,46.00,177698.263,2500798.204
04,44,46.20,177698.263,2500798.204
04,44,46.40,177698.263,2500798.204
04,44,46.60,177698.263,2500798.204
04,44,46.80,177698.263,2500798.204
04,44,47.00,177698.263,2500798.204
04,44,47.20,177698.263,2500798.204
04,44,47.40,177698.263,2500798.204
04,44,47.60,177698.263,2500798.204
04,44,47.80,177698.263,2500798.204
04,44,48.00,177698.263,2500798.204
04,44,48.20,177698.263,2500798.204
04,44,48.40,177698.263,2500798.204
04,44,48.60,177698.263,2500798.204
04,44,48.80,177698.263,2500798.204
04,44,49.00,177698.263,2500798.204
04,44,49.20,177698.263,2500798.204
04,44,49.40,177698.263,2500798.204
04,44,49.60,177698.263,2500798.204
04,44,49.80,177698.263,2500798.204
04,44,50.00,177698.263,2500798.204
04,44,50.20,177698.263,2500798.204
04,44,50.40,177698.263,2500798.204
04,44,50.60,177698.263,2500798.204
04,44,50.80,177698.263,2500798.204
04,44,51.00,177698.263,2500798.204
04,44,51.20,177698.263,2500798.204
04,44,51.40,177698.263,2500798.204
04,44,51.60,177698.263,2500798.204
04,44,51.80,177698.263,2500798.204
04,44,52.00,177698.263,2500798.204
04,44,52.20,177698.263,2500798.204
04,44,52.40,177698.263,2500798.204
04,44,52.60,177698.263,2500798.204
04,44,52.80,177698.263,2500798.204
04,44,53.00,177698.263,2500798.204
04,44,53.20,177698.263,2500798.204
04,44,53.40,177698.263,2500798.204
04,44,53.60,177698.263,2500798.204
04,44,53.80,177698.263,2500798.204
04,44,54.00,177698.263,2500798.204
04,44,54.20,177698.263,2500798.204
04,44,54.40,177698.263,2500798.204
04,44,54.60,177698.263,2500798.204
04,44,54.80,177698.263,2500798.204
04,44,55.00,177698.263,2500798.204
04,44,55.20,177698.263,2500798.204
04,44,55.40,177698.263,2500798.204
04,44,55.60,177698.263,2500798.204
04,44,55.80,177698.263,2500798.204
04,44,56.00,177698.263,2500798.204
04,44,56.20,177698.263,2500798.204
04,44,56.40,177698.263,2500798.204
04,44,56.60,177698.263,2500798.204
04,44,56.80,177698.263,2500798.204
04,44,57.00,177698.263,2500798.204
04,44,57.20,177698.263,2500798.204
04,44,57.40,177698.263,2500798.204
04,44,57.60,177698.263,2500798.204
04,44,57.80,177698.263,2500798.204
04,44,58.00,177698.263,2500798.204
04,44,58.20,177698.263,2500798.204
04,44,58.40,177698.263,2500798.204
04,44,58.60,177698.263,2500798.204
04,44,58.80,177698.263,2500798.204
04,44,59.00,177698.263,2500798.204
04,44,59.20,177698.263,2500798.204
04,44,59.40,177698.263,2500798.204
04,44,59.60,177698.263,2500798.204
04,44,59.80,177698.263,2500798.204
04,45,00.00,177698.263,2500798.204
04,45,00.20,177698.263,2500798.204
04,45,00.40,177698.263,2500798.204
04,45,00.60,177698.263,2500798.204
04,45,00.80,177698.263,2500798.204
04,45,01.00,177698.263,2500798.204
04,45,01.20,177698.263,2500798.204
04,45,01.40,177698.263,2500798.204
04,45,01.60,177698.263,2500798.204
04,45,01.80,177698.263,2500798.204
04,45,02.00,177698.263,2500798.204
04,45,02.20,177698.263,2500798.204
04,45,02.40,177698.263,2500798.204
04,45,02.60,177698.263,2500798.204
04,45,02.80,177698.263,2500798.204
04,45,03.00,177698.263,2500798.204
04,45,03.20,177698.263,2500798.204
04,45,03.40,177698.263,2500798.204
04,45,03.60,177698.263,2500798.204
04,45,03.80,177698.263,2500798.204
04,45,04.00,177698.263,2500798.204
04,45,04.20,177698.263,2500798.204
04,45,04.40,177698.263,2500798.204
04,45,04.60,177698.263,2500798.204
04,45,04.80,177698.263,2500798.204
04,45,05.00,177698.263,2500798.204
04,45,05.20,177698.263,2500798.204
04,45,05.40,177698.263,2500798.204
04,45,05.60,177698.263,2500798.204
04,45,05.80,177698.263,2500798.204
04,45,06.00,177698.263,2500798.204
04,45,06.20,177698.263,2500798.204
04,45,06.40,177698.263,2500798.204
04,45,06.60,177698.263,2500798.204
04,45,06.80,177698.263,2500798.204
04,45,07.00,177698.263,2500798.204
04,45,07.20,177698.263,2500798.204
04,45,07.40,177698.263,2500798.204
04,45,07.60,177698.263,2500798.204
04,45,07.80,177698.263,2500798.204
04,45,08.00,177698.263,2500798.204
04,45,08.20,177698.263,2500798.204
04,45,08.40,177698.263,2500798.204
04,45,08.60,177698.263,2500798.204
04,45,08.80,177698.263,2500798.204
04,45,09.00,177698.263,2500798.204
04,45,09.20,177698.263,2500798.204
04,45,09.40,177698.263,2500798.204
04,45,09.60,177698.263,2500798.204
04,45,09.80,177698.263,2500798.204
04,45,10.00,177698.263,2500798.204
04,45,10.20,177698.263,2500798.204
04,45,10.40,177698.263,2500798.204
04,45,10.60,177698.263,2500798.204
04,45,10.80,177698.263,2500798.204
04,45,11.00,177698.263,2500798.204
04,45,11.20,177698.263,2500798.204
04,45,11.40,177698.263,2500798.204
04,45,11.60,177698.263,2500798.204
04,45,11.80,177698.263,2500798.204
04,45,12.00,177698.263,2500798.204
04,45,12.20,177698.263,2500798.204
04,45,12.40,177698.263,2500798.204
04,45,12.60,177698.263,2500798.204
04,45,12.80,177698.263,2500798.204
04,45,13.00,177698.263,2500798.204
04,45,13.20,177698.263,2500798.204
04,45,13.40,177698.263,2500798.204
04,45,13.60,177698.263,2500798.204
04,45,13.80,177698.263,2500798.204
04,45,14.00,177698.263,2500798.204
04,45,14.20,177698.263,2500798.204
04,45,14.40,177698.263,2500798.204
04,45,14.60,177698.263,2500798.204
04,45,14.80,177698.263,2500798.204
04,45,15.00,177698.263,2500798.204
04,45,15.20,177698.263,2500798.204
04,45,15.40,177698.263,2500798.204
04,45,15.60,177698.263,2500798.204
04,45,15.80,177698.263,2500798.204
04,45,16.00,177698.263,2500798.204
04,45,16.20,177698.263,2500798.204
04,45,16.40,177698.263,2500798.204
04,45,16.60,177698.263,2500798.204
04,45,16.80,177698.263,2500798.204
04,45,17.00,177698.263,2500798.204
04,45,17.20,177698.263,2500798.204
04,45,17.40,177698.263,2500798.204
04,45,17.60,177698.263,2500798.204
04,45,17.80,177698.263,2500798.204
04,45,18.00,177698.263,2500798.204
04,45,18.20,177698.263,2500798.204
04,45,18.40,177698.263,2500798.204
04,45,18.60,177698.263,2500798.204
04,45,18.80,177698.263,2500798.204
04,45,19.00,177698.263,2500798.204
04,45,19.20,177698.263,2500798.204
04,45,19.40,177698.263,2500798.204
04,45,19.60,177698.263,2500798.204
04,45,19.80,177698.263,2500798.204
04,45,20.00,177698.263,2500798.204
04,45,20.20,177698.263,2500798.204
04,45,20.40,177698.263,2500798.204
04,45,20.60,177698.263,2500798.204
04,45,20.80,177698.263,2500798.204
04,45,21.00,177698.263,2500798.204
04,45,21.20,177698.263,2500798.204
04,45,21.40,177698.263,2500798.204
04,45,21.60,177698.263,2500798.204
04,45,21.80,177698.263,2500798.204
04,45,22.00,177698.263,2500798.204
04,45,22.20,177698.263,2500798.204
04,45,22.40,177698.263,2500798.204
04,45,22.60,177698.263,2500798.204
04,45,22.80,177698.263,2500798.204
04,45,23.00,177698.263,2500798.204
04,45,23.20,177698.263,2500798.204
04,45,23.40,177698.263,2500798.204
04,45,23.60,177698.263,2500798.204
04,45,23.80,177698.263,2500798.204
04,45,24.00,177698.263,2500798.204
04,45,24.20,177698.263,2500798.204
04,45,24.40,177698.263,2500798.204
04,45,24.60,177698.263,2500798.204
04,45,24.80,177698.263,2500798.204
04,45,25.00,177698.263,2500798.204
04,45,25.20,177698.263,2500798.204
04,45,25.40,177698.263,2500798.204
04,45,25.60,177698.263,2500798.204
04,45,25.80,177698.263,2500798.204
04,45,26.00,177698.263,2500798.204
04,45,26.20,177698.263,2500798.204
04,45,26.40,177698.263,2500798.204
04,45,26.60,177698.263,2500798.204
04,45,26.80,177698.263,2500798.204
04,45,27.00,177698.263,2500798.204
04,45,27.20,177698.263,2500798.204
04,45,27.40,177698.263,2500798.204
04,45,27.60,177698.263,2500798.204
04,45,27.80,177698.263,2500798.204
04,45,28.00,177698.263,2500798.204
04,45,28.20,177698.263,2500798.204
04,45,28.40,177698.263,2500798.204
04,45,28.60,177698.263,2500798.204
04,45,28.80,177698.263,2500798.204
04,45,29.00,177698.263,2500798.204
04,45,29.20,177698.263,2500798.204
04,45,29.40,177698.263,2500798.204
04,45,29.60,177698.263,2500798.204
04,45,29.80,177698.263,2500798.204
04,45,30.00,177698.263,2500798.204
04,45,30.20,177698.263,2500798.204
04,45,30.40,177698.263,2500798.204
04,45,30.60,177698.263,2500798.204
04,45,30.80,177698.263,2500798.204
04,45,31.00,177698.263,2500798.204
04,45,31.20,177698.263,2500798.204
04,45,31.40,177698.263,2500798.204
04,45,31.60,177698.263,2500798.204
04,45,31.80,177698.263,2500798.204
04,45,32.00,177698.263,2500798.204
04,45,32.20,177698.263,2500798.204
04,45,32.40,177698.263,2500798.204
04,45,32.60,177698.263,2500798.204
04,45,32.80,177698.263,2500798.204
04,45,33.00,177698.263,2500798.204
04,45,33.20,177698.263,2500798.204
04,45,33.40,177698.263,2500798.204
04,45,33.60,177698.263,2500798.204
04,45,33.80,177698.263,2500798.204
04,45,34.00,177698.263,2500798.204
04,45,34.20,177698.263,2500798.204
04,45,34.40,177698.263,2500798.204
04,45,34.60,177698.263,2500798.204
04,45,34.80,177698.263,2500798.204
04,45,35.00,177698.263,2500798.204
04,45,35.20,177698.263,2500798.204
04,45,35.40,177698.263,2500798.204
04,45,35.60,177698.263,2500798.204
04,45,35.80,177698.263,2500798.204
04,45,36.00,177698.263,2500798.204
04,45,36.20,177698.263,2500798.204
04,45,36.40,177698.263,2500798.204
04,45,36.60,177698.263,2500798.204
04,45,36.80,177698.263,2500798.204
04,45,37.00,177698.263,2500798.204
04,45,37.20,177698.263,2500798.204
04,45,37.40,177698.263,2500798.204
04,45,37.60,177698.263,2500798.204
04,45,37.80,177698.263,2500798.204
04,45,38.00,177698.263,2500798.204
04,45,38.20,177698.263,2500798.204
04,45,38.40,177698.263,2500798.204
04,45,38.60,177698.263,2500798.204
04,45,38.80,177698.263,2500798.204
04,45,39.00,177698.263,2500798.204
04,45,39.20,177698.263,2500798.204
04,45,39.40,177698.263,2500798.204
04,45,39.60,177698.263,2500798.204
04,45,39.80,177698.263,2500798.204
04,45,40.00,177698.263,2500798.204
04,45,40.20,177698.263,2500798.204
04,45,40.40,177698.263,2500798.204
04,45,40.60,177698.263,2500798.204
04,45,40.80,177698.263,2500798.204
04,45,41.00,177698.263,2500798.204
04,45,41.20,177698.263,2500798.204
04,45,41.40,177698.263,2500798.204
04,45,41.60,177698.263,2500798.204
04,45,41.80,177698.263,2500798.204
04,45,42.00,177698.263,2500798.204
04,45,42.20,177698.263,2500798.204
04,45,42.40,177698.263,2500798.204
04,45,42.60,177698.263,2500798.204
04,45,42.80,177698.263,2500798.204
04,45,43.00,177698.263,2500798.204
04,45,43.20,177698.263,2500798.204
04,45,43.40,177698.263,2500798.204
04,45,43.60,177698.263,2500798.204
04,45,43.80,177698.263,2500798.204
04,45,44.00,177698.263,2500798.204
04,45,44.20,177698.263,2500798.204
04,45,44.40,177698.263,2500798.204
04,45,44.60,177698.263,2500798.204
04,45,44.80,177698.263,2500798.204
04,45,45.00,177698.263,2500798.204
04,45,45.20,177698.263,2500798.204
